Team,Gold,Silver,Bronze,TotalMedals
USA,39,41,33,113
China,38,32,18,88
Japan,27,14,17,58
UK,22,21,22,65
Australia,17,7,22,46
Netherlands,10,12,14,36
France,10,12,11,33
Germany,10,11,16,37
Italy,10,10,20,40
Canada,7,6,11,24
Brazil,7,6,8,21
New Zeland,7,6,7,20
Cuba,7,3,5,15
Hungary,6,7,7,20
North Korea,6,4,10,20
Poland,4,5,5,14
Czech Republic,4,4,3,11
Kenya,4,4,2,10
Norway,4,2,2,8
Jamaica,4,1,4,9
Spain,3,8,6,17
Sweden,3,6,0,9
Switzerland,3,4,6,13
Denmark,3,4,4,11
Croatia,3,3,1,8
Iraq,3,2,2,7
Serbia,3,1,5,9
Belgium,3,1,3,7
Bulgaria,3,1,2,6
Slovenia,3,1,1,5
Uzbekistan,3,0,2,5
Georgia,2,5,1,8
China,2,4,6,12
Turkey,2,2,9,13
Greece,2,1,1,4
Uganda,2,1,1,4
Ecuador,2,1,0,3
Ireland,2,0,2,4
Israel,2,0,2,4
Qatar,2,0,1,3
Bahamas,2,0,0,2
Kosovo,2,0,0,2
Slovakia,1,2,1,4
South Africa,1,2,0,3
Austria,1,1,5,7
Egypt,1,1,4,6
Indonesia,1,1,3,5
Ethiopia,1,1,2,4
Portugal,1,1,2,4
Tunisia,1,1,0,2
Estonia,1,0,1,2
Fiji,1,0,1,2
Latvia,1,0,1,2
Thailand,1,0,1,2
Bermuda,1,0,0,1
Morocco,1,0,0,1
India,1,1,1,3
